iter	Passed	Remaining
0	147	29356
1	152	15104
2	157	10357
3	162	7981
4	166	6512
5	171	5546
6	175	4838
7	179	4311
8	184	3905
9	189	3597
10	193	3332
11	198	3104
12	202	2907
13	206	2737
14	210	2593
15	214	2465
16	219	2364
17	223	2261
18	227	2166
19	231	2080
20	235	2003
21	238	1933
22	242	1867
23	247	1816
24	252	1766
25	256	1719
26	260	1669
27	264	1625
28	268	1584
29	272	1544
30	276	1507
31	280	1474
32	285	1442
33	289	1412
34	293	1382
35	297	1353
36	301	1326
37	305	1301
38	310	1280
39	314	1259
40	318	1236
41	322	1214
42	326	1193
43	330	1173
44	334	1153
45	338	1134
46	343	1117
47	347	1101
48	352	1085
49	356	1068
50	359	1051
51	363	1035
52	367	1019
53	372	1006
54	376	992
55	380	979
56	385	966
57	389	954
58	393	940
59	397	927
60	401	914
61	405	903
62	410	892
63	414	881
64	419	870
65	423	859
66	427	849
67	432	838
68	436	828
69	441	819
70	445	809
71	449	798
72	453	788
73	456	777
74	460	767
75	464	757
76	469	749
77	473	741
78	478	732
79	482	723
80	485	713
81	489	704
82	494	696
83	498	688
84	503	680
85	507	672
86	511	664
87	515	656
88	519	647
89	523	639
90	527	631
91	532	624
92	536	617
93	540	609
94	544	602
95	548	594
96	552	586
97	555	578
98	559	570
99	563	563
100	568	557
101	572	550
102	576	543
103	580	536
104	584	528
105	588	521
106	592	515
107	598	509
108	602	502
109	606	496
110	610	489
111	614	482
112	619	476
113	623	470
114	627	463
115	631	457
116	635	450
117	639	444
118	643	437
119	646	431
120	652	425
121	656	419
122	660	413
123	664	407
124	669	401
125	673	395
126	676	389
127	681	383
128	685	377
129	689	371
130	695	366
131	699	360
132	703	354
133	707	348
134	711	342
135	715	336
136	719	330
137	724	325
138	729	319
139	732	314
140	736	308
141	740	302
142	744	296
143	748	291
144	752	285
145	757	280
146	761	274
147	765	269
148	769	263
149	773	257
150	777	252
151	781	246
152	786	241
153	791	236
154	795	230
155	799	225
156	804	220
157	808	214
158	812	209
159	816	204
160	820	198
161	824	193
162	829	188
163	832	182
164	836	177
165	839	172
166	843	166
167	848	161
168	852	156
169	857	151
170	861	146
171	864	140
172	868	135
173	872	130
174	877	125
175	881	120
176	885	115
177	889	109
178	894	104
179	897	99
180	901	94
181	904	89
182	908	84
183	913	79
184	917	74
185	921	69
186	925	64
187	928	59
188	932	54
189	936	49
190	939	44
191	944	39
192	947	34
193	951	29
194	955	24
195	959	19
196	963	14
197	966	9
198	970	4
199	974	0
